WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
66,Pouembout,NC,-21.1333,164.9,83.43,63,8,7.16,clear sky
67,Hermanus,ZA,-34.4187,19.2345,66.79,78,30,15.01,scattered clouds
68,Hithadhoo,MV,-0.6,73.0833,81.03,76,62,11.65,broken clouds
69,Samsun,TR,41.25,36.3333,45.99,94,75,8.05,light intensity shower rain
70,Upata,VE,8.0086,-62.3989,73.18,83,5,3.15,clear sky
71,Constitucion,CL,-35.3333,-72.4167,62.28,76,0,13.18,clear sky
72,Tiksi,RU,71.6872,128.8694,-17.95,98,100,9.4,overcast clouds
73,Kerugoya,KE,-0.4989,37.2803,55.98,72,16,4.38,few clouds
74,Cervo,ES,43.6702,-7.4101,43.52,85,15,6.24,few clouds
75,Ostrovnoy,RU,68.0531,39.5131,23.38,94,100,9.8,light snow
76,Saint-Denis,FR,48.9167,2.3333,38.14,94,0,3.44,mist
77,Fairbanks,US,64.8378,-147.7164,24.1,86,75,4.61,mist
78,Shelburne,CA,44.0787,-80.2041,16.56,92,99,9.17,overcast clouds
79,San Felipe,VE,10.3399,-68.7425,68.76,91,45,3.4,scattered clouds
80,Esperance,AU,-33.8667,121.9,70.21,67,3,14.7,clear sky
81,Cobija,BO,-11.0267,-68.7692,70.47,99,100,2.3,overcast clouds
82,Upernavik,GL,72.7868,-56.1549,3.27,76,100,7.67,overcast clouds
83,Natal,BR,-5.795,-35.2094,79.02,78,40,10.36,scattered clouds
84,Rawson,AR,-43.3002,-65.1023,60.37,65,36,17.52,scattered clouds
85,Almaznyy,RU,48.0448,40.045,31.41,92,35,6.15,scattered clouds
86,Fairfield,US,41.2668,-73.3162,44.44,82,75,3.44,broken clouds
87,Dzaoudzi,YT,-12.7887,45.2699,80.49,89,0,4.61,clear sky
88,Marsaxlokk,MT,35.8419,14.5431,50.61,87,20,12.66,few clouds
89,La Plata,AR,-34.9215,-57.9545,76.82,84,0,8.16,clear sky
90,Kousseri,CM,12.0769,15.0306,71.56,24,4,5.75,clear sky
91,Shenjiamen,CN,29.9576,122.298,52.54,72,32,20.85,scattered clouds
92,Santa Ines,BR,-3.6667,-45.38,72.93,98,100,4.47,light rain
93,Nikolskoye,RU,59.7035,30.7861,33.69,97,100,12.08,light snow
94,Bom Jesus,BR,-9.0744,-44.3586,77.32,55,68,1.39,broken clouds
95,Saskylakh,RU,71.9167,114.0833,-48.69,100,63,1.36,broken clouds
96,Chuy,UY,-33.6971,-53.4616,69.08,92,0,2.26,clear sky
97,Davila,PH,18.4726,120.5763,84.18,60,7,7.63,clear sky
98,Nouadhibou,MR,20.931,-17.0347,60.78,63,27,21.85,scattered clouds
99,Bredasdorp,ZA,-34.5322,20.0403,64.11,83,30,10.74,scattered clouds
100,Tirau,NZ,-37.9833,175.75,72.14,80,100,14.14,light rain
101,Touros,BR,-5.1989,-35.4608,79.9,76,100,15.08,overcast clouds
102,Dawlatabad,AF,36.4141,64.9053,39.18,70,73,5.32,broken clouds
103,Boyolangu,ID,-8.1181,111.8935,84.24,70,100,6.93,moderate rain
104,Avera,US,33.194,-82.5271,55.45,95,92,2.13,overcast clouds
105,Airai,TL,-8.9266,125.4092,70.88,78,100,1.7,overcast clouds
106,Manggar,ID,-2.8833,108.2667,80.06,84,100,11.74,overcast clouds
107,Tura,IN,25.5198,90.2201,72.77,42,91,1.52,overcast clouds
108,Tessalit,ML,20.1986,1.0114,52.9,15,23,10.11,few clouds
109,Port Elizabeth,ZA,-33.918,25.5701,68.29,92,100,8.05,light rain
110,Rosa Zarate,EC,0.3333,-79.4667,72.48,96,52,2.28,broken clouds
111,Bialogard,PL,54.007,15.9875,35.11,78,24,20.42,few clouds
112,Lebu,CL,-37.6167,-73.65,57.04,83,0,21.47,clear sky
